name,institution,count_reviews,rating_mean
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",1448,4.64
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,228,4.57
Behavioral Finance,Duke University,1677,4.09
"Sequences, Time Series and Prediction",DeepLearning.AI,1394,4.51
Supply Chain Logistics,Rutgers the State University of New Jersey,3903,4.72
Project Execution,"University of California, Irvine",42,3.93
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,3993,4.77
Microeconomics Principles,University of Illinois at Urbana-Champaign,1025,4.82
Creative Writing: The Craft of Plot,Wesleyan University,2988,4.65
Astronomy: Exploring Time and Space,University of Arizona,2168,4.88
Oil & Gas Industry Operations and Markets,Duke University,3260,4.82
Design Thinking for Innovation,University of Virginia,5421,4.68
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,888,4.69
Learn to Program: The Fundamentals,University of Toronto,3555,4.75
Financial Accounting Fundamentals,University of Virginia,1005,4.84
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,827,4.8
Understanding Clinical Research: Behind the Statistics,University of Cape Town,1698,4.81
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,2071,4.65
Fashion as Design,The Museum of Modern Art,1219,4.84
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,1649,4.78
Feminism and Social Justice,"University of California, Santa Cruz",2025,4.81
International Organizations Management,University of Geneva,810,4.84
Marketing Digital,Universidade de São Paulo,1119,4.8
Fundamentals of GIS,"University of California, Davis",3532,4.86
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,231,4.51
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,2036,4.86
Rethinking International Tax Law,Universiteit Leiden,513,4.82
Introduction to Probability and Data with R,Duke University,2916,4.63
Understanding and Visualizing Data with Python,University of Michigan,842,4.64
Fundamentals of Visualization with Tableau,"University of California, Davis",2760,4.36
Getting Started with SAS Programming,SAS,909,4.87
Machine Learning for All,University of London,1689,4.69
Using Databases with Python,University of Michigan,7880,4.71
