title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
Computer Vision Fundamentals with Watson and OpenCV,7032,Self-paced on your time,IBM,"['Yi Leng Yao', 'Sacchit Chadha', 'Nayef Abou Tayoun']",Introductory,Computer Science,English,['English'],7–14 hours per week,14 Weeks,99
Japanese Business Management,14852,Self-paced on your time,Waseda University,['Jusuke JJ Ikegami'],Intermediate,Business & Management,English,['English'],3–5 hours per week,4 Weeks,129
Introduction to Cloud Computing,53260,Self-paced on your time,IBM,['Rav Ahuja'],Introductory,Computer Science,English,['English'],1–2 hours per week,6 Weeks,49
Fundamentos de logística,7397,Self-paced on your time,LOGYCA,"['Pedro Alejandro Aguilar Santamaría', 'Jesus David Valencia Escarraga']",Introductory,Engineering,Español,['Español'],4–8 hours per week,5 Weeks,29
Sustainable Urban Development,45760,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,"['Arjan van Timmeren', 'Huub H.M. Rijnaarts', 'Mariette Overschie', 'Marc Spiller']",Introductory,Social Sciences,English,['English'],4–6 hours per week,7 Weeks,50
Introduction to Biomedical Imaging,56485,Self-paced on your time,The University of Queensland,"['Graham Galloway', 'David Reutens', 'Ian Brereton', 'Gail Durbridge']",Introductory,Medicine,English,['English'],4–5 hours per week,12 Weeks,99
Introducción a la programación en Java: empezando a programar,23321,Self-paced on your time,Universidad Carlos III de Madrid,"['Carlos Delgado Kloos', 'Carmen Fernández Panadero', 'Iria Estévez', 'Ayres', 'Jorge Blasco']",Introductory,Computer Science,Español,['Español'],7–10 hours per week,5 Weeks,49
"Circuits and Electronics 2: Amplification, Speed, and Delay",9665,Self-paced on your time,Massachusetts Institute of Technology,"['Anant Agarwal', 'Gerald Sussman', 'Piotr Mitros', 'Chris Terman']",Intermediate,Electronics,English,"['English', '中文']",7–9 hours per week,5 Weeks,169
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083,Self-paced on your time,Harvard University,"['Peter K. Bol', 'William C. Kirby']",Introductory,History,English,"['English', '中文']",1–3 hours per week,15 Weeks,139
Introduction to DevOps and Site Reliability Engineering,8697,Self-paced on your time,The Linux Foundation,['Gourav Shah'],Introductory,Computer Science,English,['English'],1–2 hours per week,10 Weeks,149
SQL aplicado en la  ciencia de datos,53260,Self-paced on your time,IBM,['Rav Ahuja'],Introductory,Data Analysis & Statistics,Español,['Español'],2–4 hours per week,4 Weeks,39
Sign Language Science: Factors Contributing to Nature Structure,53260,Self-paced on your time,Georgetown University,['Ted Supalla'],Introductory,Language,English,['English'],3–5 hours per week,4 Weeks,99
Gender and Intersectionality,53260,Self-paced on your time,The University of Iceland,"['Giti Chandra', 'Thomas Brorsen Smidt']",Introductory,Humanities,English,['English'],2–5 hours per week,6 Weeks,50
Digital Transformation in Business,10118,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland","['Henry Lucas', 'Ritu Agarwal', 'Anandasivam Gopal', 'Joseph P. Bailey']",Advanced,Business & Management,English,['English'],8–10 hours per week,7 Weeks,214
Designing and Creating Trousers,7544,Self-paced on your time,The Hong Kong Polytechnic University,"['Tanya Dove', 'Jalice Cheng', 'Kristina Shin', 'Marco Rebora']",Introductory,Design,English,['English'],3–5 hours per week,5 Weeks,99
Introducción a la teoría política: conceptos y grandes pensadores,11741,Self-paced on your time,Università degli Studi di Napoli Federico II,['Fernando Vallespín'],Introductory,Social Sciences,Español,['Español'],4–6 hours per week,7 Weeks,59
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426,Self-paced on your time,SDG Academy,"['Joshua Castellino', 'Sarah Bradshaw']",Intermediate,Social Sciences,English,"['English', 'Русский']",2–4 hours per week,11 Weeks,49
Industry 4.0: How to Revolutionize your Business,28404,Self-paced on your time,The Hong Kong Polytechnic University,"['Eric Tsui', 'Jay Lee', 'Norbert Gronau', 'Doug Vogel']",Introductory,Business & Management,English,['English'],6–8 hours per week,6 Weeks,50
Desafíos y oportunidades en la economía digital,47792,Self-paced on your time,Inter-American Development Bank,"['Ana María Rodríguez', 'Ortiz', 'Ignacio De León', 'Miguel Porrúa', 'María Inés Vasquez Rossi']",Introductory,Economics & Finance,Español,['Español'],2–3 hours per week,10 Weeks,25
Pensamiento crítico: toma de decisiones razonadas,16853,Self-paced on your time,Tecnológico de Monterrey,['Eduardo Pérez Gorostieta'],Introductory,Business & Management,Español,['Español'],5–8 hours per week,4 Weeks,149
"MathTrackX: Polynomials, Functions and Graphs",53260,Self-paced on your time,University of Adelaide,"['Dr Danny Stevenson', 'Dr David Butler', 'Dr Brendan Harding', 'Dr Melissa Humphries']",Introductory,Math,English,['English'],3–6 hours per week,4 Weeks,79
Sustainable Food Security: Crop Production,35367,Self-paced on your time,Wageningen University & Research,"['Ken Giller', '\u200bHarrie Lovenstein', 'Gerrie van de Ven']",Intermediate,Biology & Life Sciences,English,['English'],6–8 hours per week,6 Weeks,49
Network and Security Foundations,7301,Self-paced on your time,Western Governors University,"['Gerri Light', 'Ryan Whisler']",Introductory,Computer Science,English,['English'],9–10 hours per week,8 Weeks,299
Cannabis Cultivation and Processing,7419,Self-paced on your time,Doane University,"['Dan Ricker', 'Jazmin Oliver', 'Andrea Holmes, PhD']",Introductory,Environmental Studies,English,['English'],5–10 hours per week,3 Weeks,179
"Data, Models and Decisions in Business Analytics",36289,Instructor-led on a course schedule,Columbia University,['unknown'],Advanced,Business & Management,English,['English'],8–10 hours per week,12 Weeks,249
Data Structures Fundamentals,42381,Self-paced on your time,"The University of California, San Diego","['Daniel Kane', 'Alexander S. Kulikov', 'Michael Levin', 'Neil Rhodes']",Intermediate,Computer Science,English,['English'],8–10 hours per week,6 Weeks,99
Shaping Work of the Future,22246,Self-paced on your time,Massachusetts Institute of Technology,"['Thomas Kochan', 'Barbara Dyer', 'Elisabeth Reynolds', 'Inez von Weitershauen']",Introductory,Business & Management,English,['English'],4–5 hours per week,8 Weeks,49
Introducción a la robótica e industria 4.0,7056,Self-paced on your time,Universidades Anáhuac,"['Luis Alberto Muñoz Ubando', 'David Alberto Sansores Peraza', 'Daniel Alejandro Sansores Peraza']",Introductory,Computer Science,Español,['Español'],4–5 hours per week,3 Weeks,49
Fighting for Equality: 1950–2018,9274,Self-paced on your time,Columbia University,"['Alice Kessler', 'Harris', 'Nick Juravich', 'Columbia University Center for Teaching and Learning', 'New', 'York Historical Society']",Intermediate,History,English,['English'],2–3 hours per week,10 Weeks,50
"Design Thinking: Ideation, Iteration and Communication",14629,Self-paced on your time,Rochester Institute of Technology,['Mike Johansson'],Intermediate,Business & Management,English,['English'],8–12 hours per week,6 Weeks,299
Negotiation Strategies and Styles,53260,Self-paced on your time,Tecnológico de Monterrey,"['Luz María Vargas Reguer', 'Daniel Meade Monteverde']",Intermediate,Business & Management,English,['English'],5–8 hours per week,4 Weeks,149
Crear música con tecnología,10961,Self-paced on your time,Berklee College of Music,['Loudon Sterns'],Introductory,Music,Español,['Español'],3–5 hours per week,6 Weeks,49
Análisis de datos: Diseño y Visualización de Tableros,18368,Self-paced on your time,Delft University of Technology,['Felienne Hermans'],Intermediate,Computer Science,Español,"['English', 'Español']",4–6 hours per week,8 Weeks,49
Comunicación estratégica: gestión de crisis e imagen pública,7017,Self-paced on your time,Pontificia Universidad Javeriana,['Andrés Ricardo Quintero'],Introductory,Communication,Español,['Español'],2–4 hours per week,4 Weeks,49
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Self-paced on your time,University of Adelaide,"['Professor Wendy Umberger', 'Elizabeth Gunner', 'Craig Johns', 'Dr. Alexandra Peralta']",Intermediate,Business & Management,English,['English'],2–3 hours per week,4 Weeks,199
Unlocking Information Security: Part II,6426,Self-paced on your time,IsraelX-Tel Aviv University,"['Avishai Wool', 'Dan Gittik']",Intermediate,Computer Science,English,"['اللغة العربية', 'English', 'עברית']",4–6 hours per week,6 Weeks,149
Human Rights Defenders,27338,Self-paced on your time,Amnesty International,['Amnesty International'],Introductory,Social Sciences,English,['English'],4–5 hours per week,4 Weeks,49
Product Design: The Delft Design Approach,87539,Self-paced on your time,Delft University of Technology,"['Annemiek van Boeijen', 'Jaap J.J. Daalhuizen']",Intermediate,Business & Management,English,['English'],6–8 hours per week,7 Weeks,79
Introduction to Psychology | 心理学概论,30731,Self-paced on your time,Tsinghua University,['Kaiping Peng'],Introductory,Philosophy & Ethics,中文,['English'],3–5 hours per week,13 Weeks,139
Circuits and Electronics 3: Applications,9347,Self-paced on your time,Massachusetts Institute of Technology,"['Anant Agarwal', 'Gerald Sussman', 'Piotr Mitros', 'Chris Terman']",Intermediate,Electronics,English,"['English', '中文']",8–10 hours per week,7 Weeks,169
Vaccines: from smallpox to technologies of the future,6166,Self-paced on your time,KU Leuven University,"['Johan Neyts', 'Corinne Vandermeulen', 'Steven Van Gucht', 'Marta Romano']",Intermediate,Medicine,English,['English'],3–5 hours per week,6 Weeks,49
Le management,6273,Self-paced on your time,HEC Montréal,['Gilles Cazabon'],Introductory,Business & Management,Français,['Français'],2–3 hours per week,5 Weeks,149
Circular Economy for a Sustainable Built Environment,8032,Self-paced on your time,Delft University of Technology,"['Tillmann Klein', 'Marcel Bilow', 'Arnout Sabbe', 'Mo Smit']",Intermediate,Architecture,English,['English'],3–5 hours per week,6 Weeks,50
Agile Innovation and Problem Solving Skills,12667,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",['John Johnson'],Advanced,Engineering,English,['English'],2–3 hours per week,4 Weeks,199
International Investment Law,23335,Instructor-led on a course schedule,Université catholique de Louvain,['Yannick Radi'],Advanced,Law,English,['English'],6–8 hours per week,10 Weeks,150
Animation and CGI Motion,36827,Instructor-led on a course schedule,Columbia University,['Eitan Grinspun'],Advanced,Computer Science,English,['English'],8–10 hours per week,12 Weeks,249
Terrorism and Counterterrorism,28580,Self-paced on your time,Georgetown University,"['Daniel Byman', 'Christine Fair', 'Bruce Hoffman', 'Paul Pillar']",Introductory,Humanities,English,['English'],8–10 hours per week,7 Weeks,49
Découvrir le marketing,30030,Instructor-led on a course schedule,Université catholique de Louvain,"['Chantal de Moerloose', 'Claude Pecheux', 'Anne', 'Laure Bartier']",Intermediate,Business & Management,Français,['Français'],3–5 hours per week,10 Weeks,150
Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Instructor-led on a course schedule,Delft University of Technology,"['Arno Smets', 'Miro Zeman', 'René van Swaaij']",Advanced,Engineering,English,['English'],10–11 hours per week,12 Weeks,250
Introduction to Actuarial Science,52667,Self-paced on your time,Australian National University,['Adam Butt'],Introductory,Data Analysis & Statistics,English,['English'],2–4 hours per week,8 Weeks,49
PredictionX: Lost Without Longitude,9114,Self-paced on your time,Harvard University,['Alyssa Goodman'],Introductory,History,English,['English'],2–5 hours per week,1 Weeks,49
Information Technology Foundations,6388,Self-paced on your time,Western Governors University,"['Gerri Light', 'Ryan Whisler']",Introductory,Computer Science,English,['English'],9–10 hours per week,6 Weeks,399
Introducción a la Inteligencia Artificial de Watson,53260,Self-paced on your time,IBM,['Rav Ahuja'],Introductory,Computer Science,Español,['Español'],4–8 hours per week,8 Weeks,49
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013,Self-paced on your time,Delft University of Technology,"['Hans de Bruijn', 'Gerdien de Vries']",Intermediate,Business & Management,English,['English'],4–5 hours per week,5 Weeks,125
Instructional Design and Technology: Learning Theories,21296,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,['Randy Hansen'],Intermediate,Education & Teacher Training,English,['English'],8–10 hours per week,8 Weeks,299
"Algorithms: Design and Analysis, Part 2",53260,Self-paced on your time,Stanford University,['Tim Roughgarden'],Intermediate,Computer Science,English,['English'],2–4 hours per week,6 Weeks,149
The Math of Data Science: Linear Algebra,6746,Self-paced on your time,Rice University,['Stephen Wang'],Intermediate,Math,English,['English'],6–8 hours per week,8 Weeks,159
Introducción al quirófano,53260,Self-paced on your time,Universidades Anáhuac,['Fernando Azcoitia Moraila'],Intermediate,Medicine,Español,['Español'],3–4 hours per week,6 Weeks,49
The Hardware of a Quantum Computer,20052,Self-paced on your time,Delft University of Technology,"['Lieven Vandersypen', 'Menno Veldhorst', 'Koen Bertels', 'Leo Di Carlo']",Intermediate,Physics,English,['English'],6–8 hours per week,6 Weeks,79
Grabar y mezclar música,10856,Self-paced on your time,Berklee College of Music,['Peter Bell'],Introductory,Music,Español,['Español'],3–5 hours per week,4 Weeks,49
Leadership focused on Human Flourishing,53260,Self-paced on your time,Tecnológico de Monterrey,['Santiago José Vázquez Blanco'],Intermediate,Business & Management,English,['English'],5–8 hours per week,4 Weeks,149
Automata Theory,53260,Self-paced on your time,Stanford University,['Jeffrey D. Ullman'],Advanced,Computer Science,English,['English'],5–10 hours per week,7 Weeks,129
¡Conceptos básicos de Python para Data Science!,53260,Self-paced on your time,IBM,['Joseph Santarcangelo'],Introductory,Data Analysis & Statistics,Español,['Español'],2–5 hours per week,5 Weeks,49
Herramientas para el Análisis de Big Data,8118,Self-paced on your time,Tecnológico de Monterrey,['Jesús Aguilar'],Intermediate,Data Analysis & Statistics,Español,['Español'],3–5 hours per week,4 Weeks,49
Foundations of Central Bank Law,6169,Self-paced on your time,The International Monetary Fund,"['Wouter Bossu', 'Hans Weenink', 'Catalina Margulis', 'Jess Cheng']",Intermediate,Law,English,['English'],2–6 hours per week,6 Weeks,25
C Programming: Modular Programming and Memory Management,18690,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,"['Petra Bonfert', 'Taylor', 'Rémi Sharrock']",Introductory,Computer Science,English,['English'],2–4 hours per week,7 Weeks,49
Enseñanza temprana de matemáticas y ciencias,8250,Self-paced on your time,Inter-American Development Bank,"['Rosangela Bando', 'Emma Naslund', 'Hadley']",Introductory,Education & Teacher Training,Español,['Español'],1–2 hours per week,10 Weeks,25
Entrepreneurship 102: What can you do for your customer?,11275,Self-paced on your time,Massachusetts Institute of Technology,"['Bill Aulet', 'Erdin Beshimov']",Introductory,Business & Management,English,['English'],2–4 hours per week,10 Weeks,49
Italian Language and Culture: Advanced (2019-2020),24667,Self-paced on your time,Wellesley College,"['Daniela Bartalesi', 'Graf']",Advanced,Language,Italiano,['Italiano'],3–5 hours per week,12 Weeks,49
Introduction to Marketing,53260,Self-paced on your time,The University of Edinburgh,"['Ewelina Lacka', 'Malcolm Kirkup', 'Asanka de Silva', 'Antonia Gieschen']",Introductory,Business & Management,English,['English'],2–3 hours per week,6 Weeks,149
Origins of the Human Mind,11812,Self-paced on your time,Kyoto University,['Tetsuro Matsuzawa'],Introductory,Science,English,['English'],2–3 hours per week,5 Weeks,49
Introduction to Geometry,61824,Self-paced on your time,SchoolYourself,"['Zach Wissner', 'Gross', 'John Lee', 'Vivek Venkatachalam', 'Kenny Peng']",Introductory,Math,English,['English'],4–6 hours per week,14 Weeks,50
The Future of Work: Preparing for Disruption,43125,Self-paced on your time,World Bank Group,"['Federica Saliola', 'Aart Kraay', 'Truman G. Packard', 'Shwetlena Sabarwal']",Introductory,Economics & Finance,English,"['اللغة العربية', 'English', 'Español', 'Français', 'Русский', '中文']",3–5 hours per week,5 Weeks,5
Clinical Reasoning Process,5367,Self-paced on your time,Université de Montréal,['Nathalie Caire Fon'],Introductory,Medicine,English,['English'],2–4 hours per week,6 Weeks,149
Datos para la efectividad de las políticas públicas,80425,Self-paced on your time,Inter-American Development Bank,"['Ivette Fis de Melo', 'Norma Palomino']",Introductory,Data Analysis & Statistics,Español,['Español'],4–5 hours per week,10 Weeks,25
Media Law,7253,Instructor-led on a course schedule,New York University,"['Beth Rosenberg', 'Erik Dykema']",Introductory,Art & Culture,English,['English'],8–10 hours per week,14 Weeks,249
Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826,Self-paced on your time,Inter-American Development Bank,"['Olga Espinoza', 'Eduardo Pazinato', 'Alejandra Mera', 'Hung', 'En Sung']",Intermediate,Social Sciences,Español,['Español'],4–5 hours per week,10 Weeks,25
"Diseña, fabrica y programa tu propio robot",25024,Self-paced on your time,Universitat Politècnica de Valencia,['Leopoldo Armesto Ángel'],Introductory,Engineering,Español,['Español'],8–10 hours per week,6 Weeks,75
Pivoting to Online Teaching: Research and Practitioner Perspectives,5289,Self-paced on your time,University of Texas at Arlington,"['George Siemens', 'Justin Dellinger', 'Matt Crosslin', 'Tanya Joosten']",Introductory,Education & Teacher Training,English,['English'],3–5 hours per week,6 Weeks,139
Circular Economy: An Interdisciplinary Approach,10281,Self-paced on your time,Wageningen University & Research,"['Emiel Wubben', 'Alistair Beames', 'Gert Jan Hofstede', 'Dr. Kim Poldner']",Advanced,Business & Management,English,['English'],16–24 hours per week,6 Weeks,149
Calculus 1B: Integration,44669,Instructor-led on a course schedule,Massachusetts Institute of Technology,"['David Jerison', 'Gigliola Staffilani', 'Jennifer French', 'Karene Chu']",Intermediate,Math,English,['English'],6–10 hours per week,15 Weeks,100
Algorithmic Design and Techniques,40620,Self-paced on your time,"The University of California, San Diego","['Pavel Pevzner', 'Daniel Kane', 'Alexander S. Kulikov', 'Michael Levin']",Intermediate,Computer Science,English,['English'],8–10 hours per week,6 Weeks,99
Drinking Water Treatment,51918,Self-paced on your time,Delft University of Technology,"['Luuk Rietveld', 'Doris van Halem']",Intermediate,Engineering,English,['English'],6–8 hours per week,7 Weeks,50
Fundamentos de información financiera y contable,7789,Self-paced on your time,Universidades Anáhuac,"['Laura Avila Rodríguez', 'Lourdes Rojas Cataño']",Intermediate,Economics & Finance,Español,['Español'],5–7 hours per week,5 Weeks,49
Les principes de la finance,44037,Self-paced on your time,Université catholique de Louvain,"[""Catherine D'Hondt"", 'Isabelle Platten']",Intermediate,Business & Management,Français,['Français'],4–7 hours per week,13 Weeks,150
Music Technology Foundations,34550,Self-paced on your time,University of Adelaide,"['Luke Harrald', 'Christian Haines', 'Stephen Whittington']",Introductory,Computer Science,English,['English'],2–3 hours per week,6 Weeks,169
The Entrepreneurial Mindset,31077,Self-paced on your time,Babson College,['Dennis J. Ceru'],Introductory,Business & Management,English,['English'],4–6 hours per week,6 Weeks,149
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453,Self-paced on your time,The University of Michigan,"['Kathleen Alsup', 'Glenn M. Fox', 'Kelli A. Sullivan']",Introductory,Biology & Life Sciences,English,['English'],2–3 hours per week,5 Weeks,49
Risk Management and Credit Principles,9028,Self-paced on your time,NYIF,['Tracy Williams'],Advanced,Economics & Finance,English,['English'],2–3 hours per week,6 Weeks,199
Steps in Japanese for Beginners1 Part3,6169,Self-paced on your time,Waseda University,"['Naoko Kinoshita', 'Kaori Sano', 'Yukiyo HAMAKAWA']",Introductory,Language,English,['English'],3–5 hours per week,5 Weeks,99
Structural Materials: Selection and Economics,9752,Self-paced on your time,Massachusetts Institute of Technology,"['Thomas Eagar', 'Jessica Sandland']",Introductory,Engineering,English,['English'],2–3 hours per week,3 Weeks,50
Algorithm Design and Analysis,39137,Self-paced on your time,University of Pennsylvania,['Sampath Kannan'],Intermediate,Computer Science,English,['English'],6–8 hours per week,4 Weeks,149
Estructuras de Datos con Python,53260,Self-paced on your time,The University of Michigan,['Charles Severance'],Introductory,Computer Science,Español,['Español'],2–4 hours per week,7 Weeks,49
Mandarin Chinese for Business,12384,Self-paced on your time,MandarinX,['Estella Chen'],Intermediate,Language,English,['English'],4–10 hours per week,6 Weeks,149
Bases Matemáticas: Números y terminología,26060,Self-paced on your time,Universitat Politècnica de Valencia,"['Antonio José Guirao Sánchez', 'Santiago Moll López']",Intermediate,Math,Español,['Español'],3–4 hours per week,4 Weeks,50
Arab-Islamic History: From Tribes to Empires,17321,Self-paced on your time,IsraelX-Tel Aviv University,"['Miri Shefer', 'Mossensohn']",Introductory,Humanities,English,['English'],3–4 hours per week,8 Weeks,149
Human-Computer Interaction I: Fundamentals & Design Principles,9010,Self-paced on your time,The Georgia Institute of Technology,['David Joyner'],Introductory,Computer Science,English,['English'],5–6 hours per week,6 Weeks,99
Modeling and simulation of multibody systems,53260,Instructor-led on a course schedule,Université catholique de Louvain,"['Paul Fisette', 'Maxime Raison']",Intermediate,Engineering,English,['English'],10–11 hours per week,14 Weeks,50
The Science of Parenting,37538,Self-paced on your time,"The University of California, San Diego",['David Barner'],Introductory,Social Sciences,English,['English'],3–5 hours per week,5 Weeks,49
Inclusive Teaching: Supporting All Students in the College Classroom,9899,Self-paced on your time,Columbia University,"['Columbia University Center for Teaching and Learning', 'Amanda M. Jungels', 'Chandani Patel', 'Amanda Irvin']",Introductory,Education & Teacher Training,English,['English'],2–3 hours per week,6 Weeks,49
Analytics for Decision Making,31031,Self-paced on your time,Babson College,"['Rick Cleary', 'Nathan Karst', 'Davit Khachatryan', 'George Recck']",Introductory,Business & Management,English,['English'],4–6 hours per week,4 Weeks,249
Principios de Análisis e Instrumentos Financieros,53260,Self-paced on your time,Universidades Anáhuac,"['Ricardo Cristhian Morales Pelagio', 'Joel Álvarez Bautista']",Intermediate,Economics & Finance,Español,['Español'],5–7 hours per week,5 Weeks,49
Energy Principles and Renewable Energy,19520,Instructor-led on a course schedule,The University of Queensland,['Simon Smart'],Advanced,Energy & Earth Sciences,English,['English'],10–12 hours per week,14 Weeks,375
DNA: Biology’s Genetic Code,35162,Self-paced on your time,Rice University,"['Elizabeth Eich', 'Daniel J. Catanese']",Intermediate,Biology & Life Sciences,English,['English'],4–6 hours per week,6 Weeks,169
Music For Wellness,19728,Self-paced on your time,Berklee College of Music,"['Suzanne Hanser', 'Annette Philip']",Introductory,Humanities,English,['English'],3–5 hours per week,4 Weeks,49
Mining Massive Datasets,5311,Self-paced on your time,Stanford University,"['Jeffrey D. Ullman', 'Jure Leskovec', 'Anand Rajaraman']",Advanced,Computer Science,English,['English'],5–10 hours per week,7 Weeks,149
Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041,Self-paced on your time,Tokyo Institute of Technology,"['Akira Chiba', 'Akira Matsuzawa', 'Shinsuke Miyajima', 'Ayaka Saito']",Introductory,Engineering,English,"['English', '日本語']",2–3 hours per week,4 Weeks,50
A travel by Spanish America: Spanish for beginners,53260,Self-paced on your time,Universidad del Rosario,"['Diana Alejandra Hincapié Moreno', 'María Liliana Labrador Morales', 'Diana Rocío Umaña Buitrago']",Introductory,Language,Español,['Español'],4–6 hours per week,4 Weeks,49
Introducción a la Inteligencia Artificial,11184,Self-paced on your time,Universidades Anáhuac,['Román Alberto Zamarripa Franco'],Introductory,Computer Science,Español,['Español'],4–5 hours per week,4 Weeks,49
Introducción a la Inteligencia Artificial: Principales Algoritmos,53260,Self-paced on your time,Universidad Galileo,"['Jorge Samayoa', 'Eduardo Corpeño', 'Preng Biba', 'Julio Fajardo']",Introductory,Computer Science,Español,['Español'],4–5 hours per week,4 Weeks,49
Digital Security and Human Rights,11443,Self-paced on your time,Amnesty International,['Amnesty International'],Introductory,Social Sciences,English,['English'],1–2 hours per week,3 Weeks,49
Critical thinking: reasoned decision making,6923,Self-paced on your time,Tecnológico de Monterrey,['Eduardo Pérez Gorostieta'],Introductory,Business & Management,English,['English'],5–8 hours per week,4 Weeks,149
Introduction to the Internet of Things,7581,Self-paced on your time,Universitat Politècnica de Valencia,['Leopoldo Armesto Ángel'],Introductory,Electronics,English,['English'],5–6 hours per week,6 Weeks,50
Trading - Fundamentals of Technical Analysis,53260,Self-paced on your time,NYIF,['Michael Carr'],Introductory,Economics & Finance,English,['English'],2–3 hours per week,6 Weeks,199
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261,Self-paced on your time,Universidad Autónoma de Madrid,"['Alberto Ortiz Arduan', 'María Dolores Sánchez Niño', 'María Vanessa Pérez Gómez']",Introductory,Medicine,Español,['Español'],3–5 hours per week,6 Weeks,49
Design Thinking: Empathizing to Understand the Problem,13340,Self-paced on your time,Rochester Institute of Technology,['Jennifer Englert'],Intermediate,Business & Management,English,['English'],8–12 hours per week,6 Weeks,299
Storytelling in the Workplace,53260,Self-paced on your time,Rochester Institute of Technology,['Ammina Kothari'],Introductory,Communication,English,['English'],4–6 hours per week,3 Weeks,199
Marketing Analytics: Price and Promotion Analytics,41021,Self-paced on your time,"University of California, Berkeley",['Stephan Sorger'],Intermediate,Computer Science,English,['English'],5–7 hours per week,4 Weeks,249
Implementation of Data Structures,27761,Self-paced on your time,IITBombay,"['Deepak B. Phatak', 'Nagesh Karmali', 'Ajit Diwan', 'Ganesh Ramakrishnan']",Intermediate,Computer Science,English,['English'],6–8 hours per week,6 Weeks,149
Activism and Citizen Journalism through Media,7460,Self-paced on your time,Wits University,"['Paul McNally', 'Boikaego Seadira', 'Susan Stos', 'Zandile Mashaba']",Introductory,Communication,English,['English'],2–3 hours per week,4 Weeks,49
Electric and Conventional Vehicles,22089,Instructor-led on a course schedule,Chalmers University of Technology,"['Sven Andersson', 'Anders Grauers']",Advanced,Engineering,English,['English'],10–20 hours per week,6 Weeks,249
Big Data Fundamentals,40106,Self-paced on your time,University of Adelaide,"['Frank Neumann', 'Vahid Roostapour', 'Aneta Neumann', 'Wanru (Kelly) Gao']",Intermediate,Computer Science,English,['English'],8–10 hours per week,10 Weeks,199
Sustainable Food Security: The value of systems thinking,26600,Self-paced on your time,Wageningen University & Research,"['Gerrie van de Ven', 'I.J.M. de Boer', 'Carolien Kroeze', 'Eddie Bokkers']",Introductory,Biology & Life Sciences,English,['English'],8–10 hours per week,6 Weeks,49
Knowledge Management and Big Data in Business,69064,Self-paced on your time,The Hong Kong Polytechnic University,"['W.B. Lee', 'Klaus Tochtermann', 'Usama Fayyad', 'Eric Tsui']",Introductory,Business & Management,English,['English'],6–8 hours per week,8 Weeks,50
Uso efectivo del tiempo,6409,Self-paced on your time,Pontificia Universidad Javeriana,['Alvaro Figueroa Cabrera'],Introductory,Economics & Finance,Español,['Español'],6–8 hours per week,6 Weeks,49
C Programming: Pointers and Memory Management,19171,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,"['Petra Bonfert', 'Taylor', 'Rémi Sharrock']",Introductory,Computer Science,English,['English'],2–4 hours per week,7 Weeks,49
Astrophysics: The Violent Universe,65711,Self-paced on your time,Australian National University,"['Brian Schmidt', 'Paul Francis']",Intermediate,Physics,English,['English'],2–4 hours per week,10 Weeks,50
Landscape Ecology,8644,Self-paced on your time,ETH Zurich,"['Felix Kienast', 'Gregor Martius', 'Janet Silbernagel', 'Sima Fakheran']",Intermediate,Environmental Studies,English,['English'],2–4 hours per week,14 Weeks,50
IoT Programming and Big Data,21591,Self-paced on your time,Curtin University,['Iain Murray AM'],Introductory,Computer Science,English,['English'],4–6 hours per week,5 Weeks,199
AWS: Getting Started with Cloud Security,8192,Self-paced on your time,Amazon Web Services,"['Rudy Chetty', 'Hong Pham']",Introductory,Computer Science,English,['English'],2–4 hours per week,4 Weeks,49
Introducción a la gravedad cuántica de lazos,7360,Self-paced on your time,Universidad Nacional de Córdoba,['Jorge Pullin'],Introductory,Science,Español,"['English', 'Español']",5–7 hours per week,5 Weeks,50
Introduction to the Music Business,46607,Self-paced on your time,Berklee College of Music,['John P. Kellogg'],Introductory,Business & Management,English,['English'],2–4 hours per week,6 Weeks,49
Introducción a la programación en C: Tipos de datos y estructuras,13480,Self-paced on your time,Universidad Autónoma de Madrid,"['Germán Montoro Manrique', 'Alejandro Sierra Urrecho']",Introductory,Computer Science,Español,['Español'],2–4 hours per week,4 Weeks,49
Visualización de Datos y Storytelling,5980,Self-paced on your time,Tecnológico de Monterrey,['Jesús Aguilar'],Intermediate,Data Analysis & Statistics,Español,['Español'],3–5 hours per week,4 Weeks,49
Negociación exitosa: Estrategias y habilidades esenciales (en español),53260,Self-paced on your time,The University of Michigan,['George Siedel'],Introductory,Business & Management,Español,['Español'],2–4 hours per week,7 Weeks,49
