title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price
Child Protection: Children's Rights in Theory and Practice,212453,Self-paced on your time,Harvard University,['Jacqueline Bhabha'],Introductory,Social Sciences,English,['English'],2–6 hours per week,16 Weeks,99
IELTS Academic Test Preparation,1103777,Self-paced on your time,The University of Queensland,"['Iain Mathieson', 'Martin Dutton', 'Megan Yucel', 'Stephen Walker']",Introductory,Communication,English,['English'],5–10 hours per week,8 Weeks,99
The Architectural Imagination,406181,Self-paced on your time,Harvard University,"['Lisa Haber', 'Thomson', 'K. Michael Hays', 'Erika Naginski', 'Antoine Picon']",Introductory,Architecture,English,['English'],3–5 hours per week,10 Weeks,99
TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced on your time,Educational Testing Service,"['Michael Knab', 'Cynthia Newman', 'Shawn Gorman', 'Molly Palmer']",Introductory,Communication,English,['English'],2–4 hours per week,6 Weeks,49
Principles of Biochemistry,257600,Self-paced on your time,Harvard University,"['Alain Viel', 'Rachelle Gaudet']",Intermediate,Medicine,English,['English'],4–6 hours per week,15 Weeks,199
Using Python for Research,262183,Self-paced on your time,Harvard University,"['Jukka', 'Pekka ""JP"" Onnela']",Intermediate,Computer Science,English,['English'],2–4 hours per week,12 Weeks,99
Hinduism Through Its Scriptures,140782,Self-paced on your time,Harvard University,"['Neelima Shukla', 'Bhatt', 'Jason Smith']",Introductory,Humanities,English,['English'],5–10 hours per week,4 Weeks,99
Basic Spanish 1: Getting Started,400169,Self-paced on your time,Universitat Politècnica de Valencia,"['Prof. Ana Gimeno', 'Virginia González', 'Cristina Navarro', 'Begoña García Migura']",Introductory,Communication,English,"['English', 'Español']",4–5 hours per week,7 Weeks,40
The Health Effects of Climate Change,110024,Self-paced on your time,Harvard University,"['Aaron Bernstein', 'Ashish Jha']",Introductory,Environmental Studies,English,['English'],3–5 hours per week,7 Weeks,99
Inglés básico: conversacional y networking,79671,Self-paced on your time,Universidades Anáhuac,"['Judith Margarete Towle Wachenheim', 'Isabel Rosado Richard', 'Jorge Ernesto Peniche Rosales', 'Andrea Josefina Sansores Ruz']",Introductory,Business & Management,Español,"['English', 'Español']",5–8 hours per week,4 Weeks,49
